Distance matrix (first row lists all UserID's; first entry on each row is also UserID),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserID,71,90,94,142,163,164,196,201,213,216,280,304,336,464,466,520,554,568,607,653,664,671,683,760,864,918,940,985,1039,1071,1073,1076,1116,1136,1138,1175,1231,1304,1310,1327,1337,1363,1388,1407,1412,1430,1467,1468,1508,1538,1540,1560,1626,1631,1758,1767,1788,1808,1824,1848,1907,1918,1926,1973,1989,2002,2048,2056,2091,2139,2176,2192,2265,2354,2384,2442,2451,2619,2670,2680,2698,2713,2717,2736,3040,3052,3091,3118,3120,3214,3218,3234,3241,3242,3268,3348,3359,3408,3431,3436,3451,3507,3509,3518,3606,3643,3647,3648,3719,3764,3801,3828,3839,3862,3897,4027,4100,4120,4150,4300,4322,4356,4357,4398,4484,4525,4531,4535,4570,4603,4655,4661,4669,4703,4758,4794,4839,4859,4936,4966,5023,5068,5143,5223,5227,5259,5261,5264,5308,5408,5415,5474,5492,5500,5501,5520,5545,5630,5639,5655,5665,5669,5706,5757,5895,5939,5950,5958,6007,6048,6078,6322,6331,6405,6432,6451,6454,6540,6658,6796,6819,6846,6856,6857,6891,6898,6966,6967,6972,6983,6993,7020,7028,7068,7071,7108,7120,7158,7270,7289,7304,7320,7328,7346,7352,7372,7396,7512,7514,7549,7567,7573,7578,7591,7599,7629,7649,8143,8172,8177,8179,8195,8201,8206,8232,8236,8255,8271,8300,8358,8360,8507,8545
71,0,503,0,2110,1524,0,1683,0,313,1410,1421,818,0,1824,550,0,629,2511,0,1089,677,1524,1814,2071,1660,1727,0,1967,431,2032,764,1890,0,4747,1823,1989,1246,0,753,1039,200,1364,1521,1752,0,2068,532,650,1791,778,1882,1437,630,0,548,2322,1418,581,1975,630,1376,552,0,1787,1823,156,2104,219,1210,574,1890,297,1890,1958,2118,1410,1737,2107,1219,2040,1715,1941,2301,2267,2192,727,552,1361,2097,2051,1513,723,2035,2209,3924,2237,1297,1365,436,1952,1244,581,1934,2191,2443,1660,1264,2077,2256,1941,2229,188,1932,1302,1456,527,83,438,2276,2258,1361,1605,1264,2349,2059,641,1410,518,155,1502,2323,1983,2013,723,2016,711,2267,1996,2105,2430,1885,2090,1854,1524,2019,1440,2338,1998,1513,576,1996,2323,2002,1987,2350,680,1675,1849,2323,1884,640,1350,2323,945,2039,2332,2243,2180,650,2428,2243,1890,0,2337,2350,1042,2058,1975,1285,669,2005,1304,2004,1511,279,2037,1992,578,1687,2279,1470,1125,1746,1761,2472,2050,2234,993,2308,1494,1589,1346,2155,2418,2392,1764,2037,1936,1985,1699,1090,626,390,2364,1675,1799,1238,761,2067,1805,0,0,1257,2323,1660,342,2511,1926,0,2084,1890,1996,0
90,503,0,0,1765,1129,1646,1327,0,190,980,1065,339,503,1468,47,1175,151,2155,453,1433,202,1129,1459,1653,1304,1371,503,1611,340,1859,286,1534,339,4392,1467,1633,890,1058,342,609,575,1000,1091,1322,515,1713,156,171,1435,368,1526,1081,152,503,46,1966,1035,107,1619,152,993,50,503,1357,1467,567,1829,578,780,96,1534,373,1534,1602,1762,980,1381,1751,789,1952,1359,1585,1945,1887,1836,297,50,931,1667,1672,1083,244,1679,1854,3568,1856,867,1009,531,1596,814,103,1578,1835,2087,1304,834,1721,1900,1585,1873,530,1576,872,1080,49,443,66,1920,1902,931,1175,834,1919,1629,163,980,887,567,1147,1943,1627,1840,244,1660,1079,1887,1640,1749,2074,1529,1734,1498,1129,1663,1084,1982,1993,1083,101,1640,1943,1646,1631,1920,205,1245,1493,1943,1454,161,994,1943,476,1796,1976,1862,1824,171,1998,1862,1534,503,1906,1920,612,1777,1619,920,194,1649,873,1648,1155,590,1681,1940,99,1331,1923,1085,695,1390,1405,2042,1675,1878,556,1952,1118,1159,963,1799,2062,1962,1408,1681,1505,1597,1343,660,148,180,2008,1245,1443,808,414,1913,1374,503,503,901,1943,1304,355,2155,1496,503,1728,1534,1640,1559
94,0,0,0,0,1311,1829,1510,269,0,1163,0,522,338,1651,255,1358,333,2338,583,1352,381,1311,1641,1836,1487,1554,338,1794,364,2041,469,1717,522,4574,1650,1816,1073,1240,472,792,411,1183,1274,1505,351,1895,236,354,1618,498,1709,1264,335,338,253,2149,1218,286,1802,334,1176,257,338,1540,1650,447,2012,413,963,279,1717,348,1717,1785,1945,1163,1564,1934,972,2135,1542,1768,2128,2070,2019,480,257,1114,1850,1855,1266,427,1862,2036,3751,2039,1050,1192,366,1779,0,286,1761,2018,2270,1487,1017,1904,2083,1768,2056,449,1759,1055,1263,232,278,142,2103,2085,1114,1358,1017,2102,1811,346,1163,722,448,1329,2126,1810,2023,427,1843,915,2070,1823,1932,2257,1712,1917,1681,1311,1846,1267,2165,2176,1266,281,1823,2126,1829,1814,2103,384,1427,1676,2126,1637,344,1177,2126,659,1979,2159,2045,2007,354,2181,2045,1717,338,2089,2103,795,1960,1802,1103,373,1832,0,1831,1338,577,1864,2123,282,1514,2106,1268,878,1573,1588,2225,1858,2061,713,2135,1301,1342,1146,1982,2245,2145,1591,1864,1688,1780,1526,843,330,95,2191,1427,1626,0,544,2096,1557,338,338,1084,2126,1487,226,2338,1679,338,1911,1717,1823,1742
142,2110,1765,0,0,1619,0,1211,0,1930,1903,1185,1824,0,783,1812,0,1742,2263,0,2143,1966,1619,874,2144,1202,1134,0,154,1690,135,1709,1643,0,3227,883,2062,1010,0,1897,1632,2194,1459,1848,2202,0,1821,1920,1594,1865,1862,1955,1201,1743,0,1810,2084,1555,1871,714,1743,1513,1814,2110,2237,883,1976,217,2238,1697,1687,1643,1830,1643,2021,2061,1903,871,677,1771,322,1179,1694,2062,2186,1711,1468,1814,1729,2228,2124,1840,1681,1787,1962,2404,2156,1520,1129,2258,409,1467,1694,1687,612,2205,1202,1487,44,2008,1694,1990,1986,2005,1525,1551,1716,2131,1806,2038,1748,1738,2055,1487,2519,2149,1754,1903,2513,1975,1267,2242,2056,116,1681,1768,2491,2186,694,2060,2191,1004,31,1928,1619,1771,1251,2100,415,1840,1865,125,2242,1971,414,2767,1969,1803,881,2242,2334,1752,1423,2242,1695,72,2085,2162,601,1594,2598,2162,1643,2110,2506,2767,1635,53,714,1422,1920,2078,1796,2077,1584,1855,652,310,1690,1236,2041,1607,1718,1127,847,2633,2123,2027,1676,2069,1589,2182,1483,501,1908,2562,943,652,2386,2058,1195,1683,1739,1920,2117,1803,1872,1461,1822,283,2255,2110,0,1394,2242,1202,1828,2263,2376,2110,278,1643,125,0
163,1524,1129,1311,1619,0,1501,830,1190,1294,357,587,1102,1524,1160,1176,498,1105,1417,1225,2253,1303,0,1150,908,807,875,1524,1465,1094,1713,987,784,1102,3757,1159,827,629,398,1104,540,1667,160,291,645,1619,1181,1284,958,629,1069,720,474,1107,1524,1174,1160,322,1235,1295,1106,249,1178,1524,681,1159,1427,1683,1670,599,1051,784,1234,784,796,955,357,1073,1364,340,1802,863,965,1139,1105,1304,832,1178,202,991,889,284,1009,1147,1283,3072,1075,422,748,1635,1451,369,1058,911,1510,1281,807,389,1575,1259,965,1066,1390,769,427,131,1080,1535,1170,1114,1378,198,498,389,1242,914,1118,357,1991,1428,668,1161,821,1694,1009,1128,2183,1105,1315,943,1268,1036,1588,692,0,1131,424,1176,1723,283,1229,1495,1161,840,1486,1243,1306,465,1128,1161,778,1116,279,1161,902,1650,1301,1081,1500,958,1322,1081,784,1524,1230,1243,533,1631,1295,240,1232,843,256,841,440,1450,1357,1790,1054,835,1117,196,450,893,1096,1366,888,1072,871,1145,31,716,186,1654,1524,1286,1100,1357,829,823,846,469,1102,1284,1282,465,637,363,1186,1715,698,1524,1524,530,1161,807,1232,1417,820,1524,1583,784,1495,1414
164,0,1646,1829,0,1501,0,1290,1708,1812,1784,0,1706,2002,862,1693,1936,1623,2156,1743,2222,1848,1501,952,2025,1280,1212,2002,36,1571,213,1591,1535,1706,3305,961,1944,892,1260,1778,1513,2145,1341,1729,2083,2124,1714,1802,1475,1746,1743,1836,1083,1625,2002,1692,1977,1436,1752,792,1624,1395,1696,2002,2119,961,1905,295,2147,1578,1568,1535,1711,1535,1913,1954,1784,949,755,1652,400,1257,1587,1955,2079,1789,1350,1696,1610,2109,2006,1722,1562,1680,1855,2482,2049,1401,1011,2139,290,0,1575,1580,690,2098,1280,1368,75,1901,1587,1883,1868,1886,1406,1432,1598,2012,1687,1931,1826,1620,1936,1368,2400,2031,1635,1784,2494,1905,1148,2135,1938,194,1562,1661,2569,2079,772,1953,2084,1083,88,1809,1501,1664,1133,1993,493,1721,1747,6,2135,1864,325,2648,1850,1684,959,2135,2216,1634,1305,2135,1577,150,1978,2055,679,1475,2480,2055,1535,2002,2388,2648,1516,131,792,1304,1802,1959,0,1958,1466,1928,730,388,1572,1314,1934,1488,1599,1205,925,2515,2005,1920,1557,1962,1470,2063,1364,493,1986,2443,1022,730,2267,1940,1273,1564,1620,1801,2010,1684,1754,0,1704,361,2136,2002,2002,1275,2135,1280,1709,2156,2258,2002,356,1535,6,87
196,1683,1327,1510,1211,830,1290,0,1389,1492,1017,337,1386,1683,504,1374,1086,1304,1052,1423,2411,1528,830,421,951,282,350,1683,1293,1252,1077,1271,432,1386,3065,411,882,457,433,1459,1021,1825,670,976,1106,1804,610,1482,1156,685,1424,774,374,1305,1683,1372,873,938,1433,513,1305,843,1376,1683,1268,411,1586,995,1828,1080,1249,432,1392,432,811,850,1017,417,535,1091,1071,33,483,851,975,637,1030,1376,940,1035,931,968,1243,576,751,2242,945,903,537,1820,1107,850,1256,476,713,994,282,870,1215,797,483,779,1548,800,908,762,1278,1693,1368,827,675,949,1086,870,1338,968,1316,1017,2175,1586,418,1031,876,1096,1243,557,2367,975,533,849,981,223,1202,747,830,561,425,889,992,968,1427,1295,1031,760,1049,1574,1531,752,346,1031,1366,1314,634,1031,1257,1140,874,951,703,1156,1417,951,432,1683,1326,1574,1091,1159,513,718,1482,897,1007,896,795,1608,575,1059,1252,310,830,827,1174,368,440,1440,943,816,1238,858,799,1467,780,971,835,1381,344,575,1417,878,17,1106,1301,1482,906,752,692,845,1384,983,1286,1683,1683,851,1031,282,1390,1052,1408,1683,1116,432,1295,1241
201,0,0,269,0,1190,1708,1389,0,252,1042,0,299,565,1530,15,1237,212,2217,515,1495,140,1190,1520,1715,1366,1433,565,1673,402,1920,336,1596,299,4453,1529,1695,952,1119,302,671,637,1062,1153,1384,577,1774,94,233,1497,328,1588,1143,214,565,38,2028,1097,45,1681,213,1055,13,565,1419,1529,629,1891,640,842,158,1596,435,1596,1664,1824,1042,1443,1813,851,2014,1421,1647,2007,1949,1898,359,13,993,1729,1734,1145,306,1741,1915,3630,1918,929,1071,593,1658,0,165,1640,1897,2149,1366,896,1783,1962,1647,1935,591,1638,934,1142,111,504,128,1982,1964,993,1237,896,1981,1690,225,1042,949,629,1208,2005,1689,1902,306,1722,1141,1949,1702,1811,2136,1591,1796,1560,1190,1725,1146,2044,2055,1145,39,1702,2005,1708,1693,1982,143,1306,1555,2005,1516,223,1056,2005,495,1858,2038,1924,1886,233,2060,1924,1596,565,1968,1982,674,1839,1681,982,132,1711,0,1710,1217,651,1743,2002,161,1393,1985,1147,757,1452,1467,2104,1737,1940,543,2014,1180,1221,1025,1861,2124,2024,1470,1743,1567,1659,1405,722,209,242,2070,1306,1505,0,476,1975,1436,565,565,963,2005,1366,417,2217,1558,565,1790,1596,1702,1621
213,313,190,0,1930,1294,1812,1492,252,0,1145,1231,505,313,1634,237,1340,316,2320,565,1326,364,1294,1624,1818,1469,1537,313,1776,339,2024,452,1700,505,4557,1633,1799,1056,1223,455,775,385,1165,1256,1488,326,1878,219,337,1601,481,1691,1247,318,313,236,2132,1200,269,1785,317,1159,240,313,1523,1633,422,1994,388,946,261,1700,323,1700,1768,1927,1145,1547,1916,955,2118,1525,1751,2110,2052,2002,462,240,1097,1833,1838,1249,410,1844,2019,3734,2022,1032,1175,341,1762,980,268,1744,2000,2253,1469,999,1886,2065,1751,2038,424,1741,1037,1246,214,253,125,2086,2067,1096,1340,999,2085,1794,328,1145,697,422,1312,2108,1793,2005,410,1825,889,2052,1805,1915,2240,1695,1899,1664,1294,1829,1250,2148,2159,1248,263,1806,2108,1812,1797,2086,367,1410,1659,2108,1620,327,1160,2108,642,1961,2142,2028,1990,337,2164,2028,1700,313,2072,2086,777,1942,1785,1086,356,1815,1039,1813,1321,552,1847,2106,265,1497,2089,1251,860,1555,1570,2208,1840,2044,696,2117,1283,1325,1128,1965,2228,2128,1573,1847,1671,1763,1509,826,313,77,2174,1410,1609,974,527,2078,1540,313,313,1066,2108,1469,201,2320,1662,313,1894,1700,1806,1725
